Name,Type,Location,Size
<Stealth>,Startup,Europe,20
500 Startups,VC,US,30
Achoo,Startup,Estonia,20
Ahti Heinla,Founder,Estonia,10
Ahti Liin,Person,Estonia,4
Ambient Sound Investments,VC,Estonia,30
American Express,Company,US,20
Anders Hallin,Person,Sweden,4
Andre Karpitstsenko,Person,Estonia,4
Andreessen Horowitz,VC,US,30
Andres Sehr,Person,Estonia,4
Andrus Purde,Person,Estonia,4
Apple,Company,US,20
ASI Private Equity,VC,Estonia,30
Asko Oja,Person,Estonia,4
Asko Seeba,Person,Estonia,4
Atomico,VC,UK,30
August Capital,VC,US,30
Ben Horowitz,Person,US,4
Bessemer Ventures,VC,US,30
Betaworks,VC,US,30
Bill Draper,Person,US,4
Blip.TV,Startup,US,20
Blipboard,Startup,US,20
Bokavard.se,Startup,Sweden,20
Brian OShaughnessy,Person,US,4
Camino Networks,Skype,US,20
Candycane,Startup,Estonia,20
Carlos Pires,Person,Brazil,4
Carter Adamson,Person,UK,4
Causata,Startup,US,20
Chilango,Startup,UK,20
CrushPad,Startup,US,20
DailyPerfect,Startup,Estonia,20
Dan Houghton,Person,UK,4
Dan Hynes,Person,UK,4
Dan Neary,Person,Singapore,4
Danny Rimer,Person,UK,4
DFJ,VC,US,30
Draper Richards,VC,US,30
Duego,Startup,Sweden,20
Duncan Lamb,Person,UK,4
eBay,Company,US,20
Electronic Arts,Company,US,20
Ed Botterill,Person,UK,4
Edicy,Startup,Estonia,20
Eileen Burbridge,Person,UK,4
Elke Karskens,Person,UK,4
Eric Lagier,Person,UK,4
Eric Partaker,Person,UK,4
Erik Laansoo,Person,Estonia,4
Eunice Lim,Person,Singapore,4
Eva-Lotta Lamm,Person,UK,4
Fab.com,Startup,US,20
Facebook,Company,US,20
Flattr,Startup,UK,20
Fleep,Startup,Estonia,20
FON,Startup,Europe,20
Fortumo,Startup,Estonia,20
Garage48,Startup,Estonia,20
Gareth OLaughlin,Person,UK,4
Geoffrey Prentice,Person,UK,4
Google,Company,US,20
GrabCAD,Startup,Estonia,20
Grows Up,Startup,US,20
GroupMe,Skype,US,20
Henn Ruukel,Person,Estonia,4
Henrique Penha,Person,UK,4
Howard Hartenbaum,Person,US,4
Index Ventures,VC,UK,30
InkSpin1,Startup,Estonia,20
Jaan Tallinn,Founder,Estonia,10
Jaanus Kase,Person,Estonia,4
Jaanus Kivistik,Person,Estonia,4
James Peck,Person,UK,4
Janus Friis,Founder,UK,15
Jared Hecht,Person,US,4
Jason Fischl,Person,US,4
Jolicloud,Startup,Europe,20
Jonathan Christensen,Person,US,4
Joost,Startup,Europe,20
Josh Silverman,Person,US,4
Julian Spittka,Person,US,4
Katango,Startup,US,20
Kate Opekar,Person,UK,4
Kathy Dalpes,Person,UK,4
Kelly Poon,Person,Hong Kong,4
Kindo (MyHeritage),Startup,UK,20
King.com,Startup,UK,20
Klaus Hommels,Person,Europe,4
Koen Vos,Person,US,4
Kurt Thywissen,Person,US,4
Last.fm,Startup,UK,20
Lenn Pryor,Person,UK,4
Lifecake,Startup,UK,20
LivingSocial,Startup,US,20
Lube Panda,Startup,UK,20
Malthe Sigurdsson,Person,UK,4
Mangrove Capital,VC,Luxembourg,30
Marc Andreessen,Person,US,4
Marinexplore,Startup,Estonia,20
Marko Kreen,Person,Estonia,4
Mart Kelder,Person,Estonia,4
Mart Oruaas,Person,Estonia,4
Martin Tajur,Person,Estonia,4
Martin Villig,Person,Estonia,4
Memolane,Startup,US,20
Mendeley,Startup,UK,20
Merocrat,Startup,Estonia,20
MessageMe,Startup,US,20
Metamed,Startup,US,20
Michael Bevin,Person,Estonia,4
Michael Jackson,Person,UK,4
Michael van Swaaij,Person,Europe,4
Mikael Suvi,Person,Estonia,4
Mike Barnes,Person,US,4
Mike Bartlett,Person,UK,4
Mike Volpi,Person,US,4
Morten Lund,Person,Denmark,4
Mooncascade,Startup,Estonia,20
Naspers,VC,Hong Kong,30
Neo Ideo,Company,Denmark,20
Nicholas Babaian,Person,UK,4
Niklas Zennstrom,Founder,UK,15
Nils Hammar,Person,UK,4
Oliver Reitalu,Person,Estonia,4
OMGPOP,Startup,US,20
One Jackson,Startup,US,20
OneID,Startup,US,20
Ott Kaukver,Person,Estonia,4
Passion Capital,VC,UK,30
Pipedrive,Startup,Estonia,20
Pooj Preena,Person,US,4
Pramana Collective,Startup,US,20
Priidu Zilmer,Person,Estonia,4
Priit Kasesalu,Founder,Estonia,10
Qik,Skype,US,20
Rdio,Startup,US,20
RedMart,Startup,Singapore,20
Remby.com,Startup,Sweden,20
Renno Paat,Person,Estonia,4
Robert Miller,Person,UK,4
RougeFrog,Startup,UK,20
Rovio,Startup,Finland,20
Rowena Knapp,Person,UK,4
Saul Klein,Person,UK,4
Scott Bagby,Person,UK,4
Seedcamp,VC,UK,30
Sellfy,Startup,Lithuania,20
Shin Iwata,Person,Japan,4
Siim Teller,Person,Estonia,4
Siim Viidu,Person,Estonia,4
Silver Lake,VC,US,30
Simon Hade,Person,UK,4
Simon Tickner,Person,UK,4
Skype,Skype,Europe,60
Space Ape Games,Startup,UK,20
Spotify,Startup,UK,20
Stardoll,Startup,Sweden,20
Stefan Glaenzer,Person,UK,4
Stefan Oberg,Person,UK,4
Sten Tamkivi,Person,Estonia,4
Stephanie Bouchet,Person,UK,4
Stephanie Robesky,Person,UK,4
Steve Jurvetson,Person,US,4
Steve Martocci,Person,US,4
Streamtainment,Startup,Estonia,20
Sunrise,Startup,US,20
Supercell,Startup,Finland,20
Taavet Hinrikus,Person,Estonia,4
Taavi Tuisk,Person,Estonia,4
TaskRabbit,Startup,US,20
The Factory,Startup,US,20
Tim Botterill,Person,UK,4
Tim Draper,Person,US,4
Toivo Annus,Founder,Estonia,10
Tony Saigh,Person,UK,4
Transferwise,Startup,UK,20
TravelMob,Startup,Singapore,20
Trou.pe,Startup,UK,20
Turochas Fuad,Person,Singapore,4
TweetDeck,Startup,UK,20
Twilio,Startup,US,20
Tyler Wells,Person,US,4
Ubix.io,Startup,US,20
Viktoria Ruubel,Person,Estonia,4
Voxtrot,Startup,Europe,20
Wilhelm Lundborg,Person,UK,4
Yee Lee,Person,US,4
Ramu Sunkara,Person,US,4
Bhaskar Roy,Person,US,4
Nikolay Abkairov,Person,Russia,4
Listhings,Startup,Estonia,20
Chris Lewis,Person,Hong Kong,4
Maaii,Startup,Hong Kong,20
Martin Rand,Person,Estonia,4
Vitalfields,Startup,Estonia,20
Liz Rice,Person,UK,4
Tank Top TV,Startup,UK,20
Jens Kasemets,Person,Estonia,4
Shaka,Startup,Estonia,20
Pixtape,Startup,Estonia,20
Usual,Startup,Estonia,20
Tiit Paananen,Person,Estonia,4
Margus Holland,Person,Estonia,4
Joonathan Magi,Person,Estonia,4
Stuttcars.com,Startup,Estonia,20
Pohjala Beer,Startup,Estonia,20
ZeroTurnaround,Startup,Estonia,20
Riina Einberg,Person,Estonia,4
Don Albert,Person,US,4
Guardtime,Startup,Estonia,20
AdsWizz,Startup,US,20
