Person,Company,Role
Niklas Zennstrom,Skype,1
Janus Friis,Skype,1
Toivo Annus,Skype,1
Jaan Tallinn,Skype,1
Priit Kasesalu,Skype,1
Ahti Heinla,Skype,1
Taavet Hinrikus,Skype,2
Ott Kaukver,Skype,2
Sten Tamkivi,Skype,2
Malthe Sigurdsson,Skype,2
Carter Adamson,Skype,2
Eileen Burbridge,Skype,2
Shin Iwata,Skype,2
Carlos Pires,Skype,2
Kelly Poon,Skype,2
Geoffrey Prentice,Skype,2
Dan Hynes,Skype,2
Michael Jackson,Skype,2
Saul Klein,Skype,2
Eric Lagier,Skype,2
Anders Hallin,Skype,2
Nils Hammar,Skype,2
Stefan Oberg,Skype,2
Henn Ruukel,Skype,2
Priidu Zilmer,Skype,2
Oliver Reitalu,Skype,2
Erik Laansoo,Skype,2
Stephanie Robesky,Skype,2
Tyler Wells,Skype,2
Kurt Thywissen,Skype,2
Duncan Lamb,Skype,2
Jaanus Kase,Skype,2
Scott Bagby,Skype,2
Jason Fischl,Skype,2
Mike Barnes,Skype,2
Jonathan Christensen,Skype,2
Mike Bartlett,Skype,2
Renno Paat,Skype,2
Tim Botterill,Skype,2
Ed Botterill,Skype,2
Andres Sehr,Skype,2
Wilhelm Lundborg,Skype,2
Kate Opekar,Skype,2
Kathy Dalpes,Skype,2
Simon Tickner,Skype,2
Eva-Lotta Lamm,Skype,2
Henrique Penha,Skype,2
Mart Oruaas,Skype,2
Taavi Tuisk,Skype,2
Siim Teller,Skype,2
Siim Viidu,Skype,2
Gareth OLaughlin,Skype,2
Elke Karskens,Skype,2
Dan Neary,Skype,2
Lenn Pryor,Skype,2
Mart Kelder,Skype,2
Turochas Fuad,Skype,2
Martin Tajur,Skype,2
Andrus Purde,Skype,2
Andre Karpitstsenko,Skype,2
Martin Villig,Skype,2
Nicholas Babaian,Skype,2
James Peck,Skype,2
Eunice Lim,Skype,2
Tony Saigh,Skype,2
Yee Lee,Skype,2
Mikael Suvi,Skype,2
Michael Bevin,Skype,2
Simon Hade,Skype,2
Robert Miller,Skype,2
Josh Silverman,Skype,2
Michael van Swaaij,Skype,2
Michael van Swaaij,eBay,2
Rowena Knapp,Skype,2
Stephanie Bouchet,Skype,2
Eric Partaker,Skype,2
Dan Houghton,Skype,2
Silver Lake,Skype,3
Andreessen Horowitz,Skype,3
eBay,Skype,3
Index Ventures,Skype,3
Mangrove Capital,Skype,3
Mangrove Capital,Rdio,3
DFJ,Skype,3
Draper Richards,Skype,3
Bessemer Ventures,Skype,3
Morten Lund,Skype,3
Morten Lund,Neo Ideo,1
Steve Jurvetson,DFJ,2
Steve Jurvetson,DFJ,3
Tim Draper,DFJ,1
Tim Draper,DFJ,3
Bill Draper,Tim Draper,1
Bill Draper,Draper Richards,1
Bill Draper,Draper Richards,3
Howard Hartenbaum,Skype,3
Howard Hartenbaum,Draper Richards,2
Howard Hartenbaum,August Capital,2
Howard Hartenbaum,August Capital,3
Michael Jackson,Mangrove Capital,2
Danny Rimer,Index Ventures,1
Danny Rimer,Index Ventures,3
Saul Klein,Index Ventures,2
Mike Volpi,Index Ventures,2
Saul Klein,Seedcamp,1
Saul Klein,Seedcamp,3
Sten Tamkivi,Seedcamp,3
Ahti Heinla,Seedcamp,3
Index Ventures,Transferwise,3
Seedcamp,Transferwise,3
Eileen Burbridge,Passion Capital,1
Eileen Burbridge,Passion Capital,3
Siim Teller,Passion Capital,2
Stefan Glaenzer,Passion Capital,1
Stefan Glaenzer,Passion Capital,3
Passion Capital,Mendeley,3
ASI Private Equity,Mendeley,3
Siim Teller,Flattr,2
Passion Capital,Flattr,3
